PMID,Amount,Country,Region,ISO3
10594428,142,UK,Europe,GBR
10594429,20,USA,North America,USA
10594437,40,USA,North America,USA
10602721,138,Israel,Middle East,ISR
10612763,132,USA,North America,USA
10612774,60,UK,Europe,GBR
10617523,151,UK,Europe,GBR
10617541,7,Austria,Europe,AUT
10620210,52,USA,North America,USA
10620211,59,USA,North America,USA
10630138,690,USA,North America,USA
10632407,40,Israel,Middle East,ISR
10632409,76,Turkey,Middle East,TUR
10632415,13,Finland,Europe,FIN
10632418,64,Italy,Europe,ITA
10632419,58,France,Europe,FRA
10632423,44,Switzerland,Europe,CHE
10633535,45,USA,North America,USA
10634735,561,Netherlands,Europe,NLD
10634736,875,UK,Europe,GBR
10636257,54,USA,North America,USA
10636260,80,Canada,North America,CAN
10636263,20,USA,North America,USA
10636270,536,Italy,Europe,ITA
10636271,225,USA,North America,USA
10636510,415,USA,North America,USA
10636605,84,USA,North America,USA
10638992,400,UK,Europe,GBR
10639180,10,Finland,Europe,FIN
10639383,57,Pakistan,Asia-Pacific,PAK
10639540,954,Canada,North America,CAN
10642233,108,Australia,Asia-Pacific,AUS
10642705,135,Italy,Europe,ITA
10644535,16,USA,North America,USA
10647713,371,USA,North America,USA
10649155,236,USA,North America,USA
10649166,165,France,Europe,FRA
10649197,291,USA,North America,USA
10649211,473,USA,North America,USA
10651597,83,USA,North America,USA
10651680,100,Pakistan,Asia-Pacific,PAK
10652036,102,China,Asia-Pacific,CHN
10652037,16,Denmark,Europe,DNK
10652038,60,USA,North America,USA
10652047,26,USA,North America,USA
10655195,237,France,Europe,FRA
10657327,194,Australia,Asia-Pacific,AUS
10657332,240,Netherlands,Europe,NLD
10658028,13,Germany,Europe,DEU
10666187,66,France,Europe,FRA
10669447,161,UK,Europe,GBR
10671842,72,USA,North America,USA
10671902,8,Japan,Asia-Pacific,JPN
10671903,14,USA,North America,USA
10671912,112,Australia,Asia-Pacific,AUS
10674593,343,USA,North America,USA
10674597,547,USA,North America,USA
10676668,30,UK,Europe,GBR
10676669,647,Japan,Asia-Pacific,JPN
10676670,33,Austria,Europe,AUT
10676671,296,Japan,Asia-Pacific,JPN
10676676,50,USA,North America,USA
10676679,46,USA,North America,USA
10676687,97,Sweden,Europe,SWE
10678261,69,USA,North America,USA
10678926,80,USA,North America,USA
10678970,238,Vietnam,Asia-Pacific,VNM
10679534,689,UK,Europe,GBR
10680028,1105,USA,North America,USA
10681323,53,UK,Europe,GBR
10681340,131,Thailand,Asia-Pacific,THA
10681341,266,Thailand,Asia-Pacific,THA
10683055,61,USA,North America,USA
10683436,135,USA,North America,USA
10684911,195,USA,North America,USA
10685535,154,Germany,Europe,DEU
10686268,20,USA,North America,USA
10687323,17,Italy,Europe,ITA
10687326,26,USA,North America,USA
10688560,180,UK,Europe,GBR
10688561,315,UK,Europe,GBR
10688563,613,USA,North America,USA
10688810,59,Italy,Europe,ITA
10689236,10879,Egypt,Africa,EGY
10689253,64,USA,North America,USA
10690389,257,Canada,North America,CAN
10691066,15000,USA,North America,USA
10691121,180,Italy,Europe,ITA
10693368,98,USA,North America,USA
10694609,38,USA,North America,USA
10694615,263,USA,North America,USA
10694619,40,Italy,Europe,ITA
10695262,65,Japan,Asia-Pacific,JPN
10695439,48,USA,North America,USA
10696955,206,Denmark,Europe,DNK
10697060,120,USA,North America,USA
10698876,138,UK,Europe,GBR
10699324,120,USA,North America,USA
10700487,138,USA,North America,USA
10702178,36,Netherlands,Europe,NLD
10703934,322,Finland,Europe,FIN
10704956,96,USA,North America,USA
10710578,614,UK,Europe,GBR
10710579,37,UK,Europe,GBR
10714424,13,UK,Europe,GBR
10714475,936,USA,North America,USA
10714479,24,UK,Europe,GBR
10714480,229,UK,Europe,GBR
10716458,43,USA,North America,USA
10716460,584,USA,North America,USA
10716466,23,USA,North America,USA
10716469,258,USA,North America,USA
10716474,40,Germany,Europe,DEU
10716475,23,Japan,Asia-Pacific,JPN
10718230,675,UK,Europe,GBR
10718786,7,Papua New Guinea,Asia-Pacific,PNG
10718895,50,USA,North America,USA
10720964,96,France,Europe,FRA
10722499,19,Thailand,Asia-Pacific,THA
10722500,14,USA,North America,USA
10722768,288,Netherlands,Europe,NLD
