ISO3,Disease,YEAR,Total_Participants,Total_Studies
AFG,Anxiety disorders,2012,61.0,1
AFG,Anxiety disorders,2023,183.0,2
AFG,Bacterial skin diseases,2014,174.0,1
AFG,Cardiovascular diseases,2016,120.0,1
AFG,Chronic respiratory diseases,2005,268.0,1
AFG,Chronic respiratory diseases,2014,579.0,1
AFG,Chronic respiratory diseases,2015,325.0,1
AFG,Chronic respiratory diseases,2016,303.0,1
AFG,Chronic respiratory diseases,2017,240.0,1
AFG,Depressive disorders,2012,122.0,1
AFG,Depressive disorders,2019,2926.0,1
AFG,Depressive disorders,2020,292.0,1
AFG,Diabetes and kidney diseases,2016,120.0,1
AFG,Diabetes mellitus,2016,120.0,1
AFG,Digestive diseases,2013,304.0,1
AFG,Digestive diseases,2015,3045.0,1
AFG,Digestive diseases,2017,124.4006725,1
AFG,Drug use disorders,2016,240.0,1
AFG,Leishmaniasis,2005,802.0,1
AFG,Leishmaniasis,2012,764.0,1
AFG,Leishmaniasis,2014,400.0,2
AFG,Lower respiratory infections,2010,453.0,1
AFG,Lower respiratory infections,2012,304.0,1
AFG,Malaria,2005,268.0,1
AFG,Malaria,2010,536.0,1
AFG,Malaria,2014,579.0,1
AFG,Malaria,2015,325.0,1
AFG,Malaria,2016,303.0,1
AFG,Malaria,2017,833.0,2
AFG,Maternal and neonatal disorders,2016,120.0,1
AFG,Maternal and neonatal disorders,2020,188.0,1
AFG,Maternal disorders,2020,376.0,1
AFG,Mental disorders,2012,61.0,1
AFG,Mental disorders,2019,1463.0,1
AFG,Mental disorders,2020,146.0,1
AFG,Mental disorders,2023,183.0,2
AFG,Neglected tropical diseases and malaria,2005,669.0,2
AFG,Neglected tropical diseases and malaria,2010,536.0,1
AFG,Neglected tropical diseases and malaria,2012,382.0,1
AFG,Neglected tropical diseases and malaria,2014,779.0,3
AFG,Neglected tropical diseases and malaria,2015,325.0,1
AFG,Neglected tropical diseases and malaria,2016,303.0,1
AFG,Neglected tropical diseases and malaria,2017,833.0,2
AFG,Neonatal disorders,2016,240.0,1
AFG,Other mental disorders,2012,61.0,1
AFG,Other mental disorders,2019,1463.0,1
AFG,Other mental disorders,2023,183.0,2
AFG,Respiratory infections and tuberculosis,2010,453.0,1
AFG,Respiratory infections and tuberculosis,2012,304.0,1
AFG,Skin and subcutaneous diseases,2014,87.0,1
AFG,Substance use disorders,2016,120.0,1
AGO,African trypanosomiasis,2001,588.0,1
AGO,African trypanosomiasis,2016,18.79333547,1
AGO,Chronic respiratory diseases,2006,137.0,1
AGO,Chronic respiratory diseases,2021,948.0,1
AGO,Digestive diseases,2022,121.0,1
AGO,HIV/AIDS,2008,568.0,1
AGO,HIV/AIDS and sexually transmitted infections,2008,568.0,1
AGO,Malaria,2006,137.0,1
AGO,Malaria,2021,948.0,1
AGO,Malaria,2022,121.0,1
AGO,Neglected tropical diseases and malaria,2001,588.0,1
AGO,Neglected tropical diseases and malaria,2006,137.0,1
AGO,Neglected tropical diseases and malaria,2016,18.79333547,1
AGO,Neglected tropical diseases and malaria,2021,948.0,1
AGO,Neglected tropical diseases and malaria,2022,121.0,1
AGO,Other neglected tropical diseases,2001,588.0,1
AGO,Other neglected tropical diseases,2022,121.0,1
ALB,Blindness and vision loss,2015,20.0,1
ALB,Cardiovascular diseases,2015,10.0,1
ALB,Musculoskeletal disorders,2023,38.0,1
ALB,Neurological disorders,2015,154.0,1
ALB,Osteoarthritis,2023,76.0,1
ALB,Other cardiovascular and circulatory diseases,2015,10.0,1
ALB,Other neurological disorders,2015,154.0,1
ALB,Sense organ diseases,2015,10.0,1
ARE,Anxiety disorders,2024,129.0,1
ARE,Cardiovascular diseases,2009,229.1687784,1
ARE,Cardiovascular diseases,2018,24.0,1
ARE,Chronic kidney disease,2015,87.0,1
ARE,Chronic respiratory diseases,2021,2.848589917,1
ARE,Chronic respiratory diseases,2022,1.380535446,1
ARE,Depressive disorders,2024,258.0,1
ARE,Diabetes and kidney diseases,2005,52.0,1
ARE,Diabetes and kidney diseases,2013,124.56919309,2
ARE,Diabetes and kidney diseases,2015,87.0,1
ARE,Diabetes and kidney diseases,2016,446.0,1
ARE,Diabetes and kidney diseases,2017,439.0,1
ARE,Diabetes and kidney diseases,2024,574.0,2
ARE,Diabetes mellitus,2005,52.0,1
ARE,Diabetes mellitus,2013,124.56919309,2
ARE,Diabetes mellitus,2015,87.0,1
ARE,Diabetes mellitus,2016,446.0,1
ARE,Diabetes mellitus,2017,439.0,1
ARE,Diabetes mellitus,2024,574.0,2
ARE,Lower respiratory infections,2021,2.848589917,1
ARE,Lower respiratory infections,2022,1.380535446,1
ARE,Maternal and neonatal disorders,2009,229.1687784,1
ARE,Maternal and neonatal disorders,2018,24.0,1
ARE,Maternal and neonatal disorders,2021,2.848589917,1
ARE,Maternal and neonatal disorders,2022,64.380535446,2
ARE,Maternal disorders,2021,2.848589917,1
ARE,Maternal disorders,2022,127.380535446,2
ARE,Mental disorders,2024,129.0,1
ARE,Multiple myeloma,2024,180.0,1
ARE,Neonatal disorders,2009,458.3375568,1
ARE,Neonatal disorders,2018,48.0,1
ARE,Neonatal disorders,2021,5.697179834,1
ARE,Neonatal disorders,2022,2.761070892,1
ARE,Neoplasms,2023,254.0,1
ARE,Neoplasms,2024,180.0,1
ARE,Nutritional deficiencies,2007,178.0,1
ARE,Nutritional deficiencies,2009,90.0,1
ARE,Nutritional deficiencies,2015,87.0,1
ARE,Nutritional deficiencies,2022,545.0,1
ARE,Other mental disorders,2024,129.0,1
ARE,Other neoplasms,2023,508.0,1
ARE,Other nutritional deficiencies,2007,178.0,1
ARE,Other nutritional deficiencies,2009,90.0,1
ARE,Other nutritional deficiencies,2015,87.0,1
ARE,Other nutritional deficiencies,2022,545.0,1
ARE,Respiratory infections and tuberculosis,2021,2.848589917,1
ARE,Respiratory infections and tuberculosis,2022,1.380535446,1
ARE,Upper respiratory infections,2021,2.848589917,1
ARE,Upper respiratory infections,2022,1.380535446,1
ARG,Alzheimer's disease and other dementias,2020,181.0,1
ARG,Alzheimer's disease and other dementias,2023,20.0,1
ARG,Anxiety disorders,2011,190.0,1
ARG,Asthma,2000,355.0,1
ARG,Asthma,2007,33.82886808,1
ARG,Asthma,2012,143.0,1
ARG,Atrial fibrillation and flutter,2011,15.31775136,1
ARG,Attention-deficit/hyperactivity disorder,2020,82.0,1
ARG,Autism spectrum disorders,2024,16.57078132,1
ARG,Blindness and vision loss,2003,184.0,1
ARG,Blindness and vision loss,2013,3.920632248,1
ARG,Blindness and vision loss,2024,160.0,1
ARG,Breast cancer,2008,32.71332382,1
ARG,Breast cancer,2022,120.0,1
ARG,Breast cancer,2024,144.0,1
ARG,Cardiovascular diseases,2001,450.0,1
ARG,Cardiovascular diseases,2003,307.46047747,2
ARG,Cardiovascular diseases,2004,301.0,1
ARG,Cardiovascular diseases,2005,470.0,2
ARG,Cardiovascular diseases,2006,126.0,2
ARG,Cardiovascular diseases,2010,41.99847341,1
ARG,Cardiovascular diseases,2011,25.75176009,2
ARG,Cardiovascular diseases,2013,1.960316124,1
ARG,Cardiovascular diseases,2015,36.59308348,1
ARG,Cardiovascular diseases,2017,143.0,1
ARG,Cardiovascular diseases,2018,143.0,1
ARG,Cardiovascular diseases,2019,195.0,1
ARG,Cardiovascular diseases,2020,100.0,1
ARG,Cardiovascular diseases,2021,143.0,1
ARG,Cardiovascular diseases,2022,58.0,1
ARG,Cardiovascular diseases,2024,67.40753697,1
ARG,Chagas disease,2015,39.0,1
ARG,Chagas disease,2017,17.37908522,1
ARG,Chagas disease,2020,240.0,1
ARG,Chagas disease,2021,24.0,1
ARG,Chagas disease,2023,330.0,1
ARG,Chronic obstructive pulmonary disease,2023,20.0,1
ARG,Chronic respiratory diseases,2000,355.0,1
ARG,Chronic respiratory diseases,2006,101.0,1
ARG,Chronic respiratory diseases,2007,33.82886808,1
ARG,Chronic respiratory diseases,2011,188.0,1
ARG,Chronic respiratory diseases,2012,143.0,1
ARG,Chronic respiratory diseases,2017,9.125800754,1
ARG,Chronic respiratory diseases,2018,14.03354165,1
ARG,Chronic respiratory diseases,2021,602.63287742,4
ARG,Chronic respiratory diseases,2022,155.0,3
ARG,Chronic respiratory diseases,2023,22.905688517999998,2
ARG,Cirrhosis and other chronic liver diseases,2005,450.0,1
ARG,Colon and rectum cancer,2015,3.823324968,1
ARG,Colon and rectum cancer,2023,1500.0,1
ARG,Cystic echinococcosis,2005,176.0,1
ARG,Dengue,2021,239.0,1
ARG,Depressive disorders,2014,75.32966366,1
ARG,Depressive disorders,2019,486.0,1
ARG,Diabetes and kidney diseases,2013,7.51239789,1
ARG,Diabetes and kidney diseases,2015,13.282746,1
ARG,Diabetes and kidney diseases,2019,23.0,1
ARG,Diabetes and kidney diseases,2023,117.63858865,2
ARG,Diabetes mellitus,2013,7.51239789,1
ARG,Diabetes mellitus,2015,13.282746,1
ARG,Diabetes mellitus,2019,23.0,1
ARG,Diabetes mellitus,2023,117.63858865,2
ARG,Digestive diseases,2005,450.0,1
ARG,Digestive diseases,2011,188.0,1
ARG,Digestive diseases,2014,18.85519703,1
ARG,Digestive diseases,2015,300.0,1
