ISO3,Authors,DALYs,Participants,PBR,Participant_Share,DALY_Share,A_global_share,P_burden_global_share,P_participant_global_share,A_norm,P_burden_norm,P_participant_norm,Limiting_Factor,Residual,Impact_Scores,Disease,CIS_Country,x,y,Status,Visual_Factor
AGO,1,21124121.55,568,0.024422012,0.000308889,0.01264797,0.000228363,0.011967441,0.000308889,0.018262156,0.957036007,0.024701837,As_Expected,0.069390952,"{'Research_Investment': 0.7053672636592864, 'Health_Infrastructure': 0.07294823701932293, 'Governance': 0.7423620706499457}",HIV/AIDS and sexually transmitted infections,0.043170198,0.033832915,0.015815491,As_Expected,Governance
ARG,8,2633197.392,586.0446587,0.202143164,0.000318702,0.001576615,0.001826901,0.001491784,0.000318702,0.502256407,0.410125239,0.087618354,Research_Investment,-1.434477325,"{'Research_Investment': 0.0379625549372968, 'Health_Infrastructure': 0.009520312704257494, 'Governance': 0.0}",HIV/AIDS and sexually transmitted infections,-0.064040647,0.338746557,0.434966808,Under,Research_Investment
AUS,35,199033.7176,7963.211831,4.330541459,0.004330541,0.000119171,0.007992692,0.000112759,0.004330541,0.642706442,0.009067109,0.348226449,Over_Performing,3.197823319,"{'Research_Investment': 0.0, 'Health_Infrastructure': 0.0, 'Governance': 0.0}",HIV/AIDS and sexually transmitted infections,-0.217023455,0.66957967,0.556600106,Over_Performing,Unknown
AUT,5,73718.15229,16.47587513,0.008959885,8.96E-06,4.41E-05,0.001141813,4.18E-05,8.96E-06,0.957465957,0.035020743,0.0075133,Multiple_Factors,-1.313702859,{},HIV/AIDS and sexually transmitted infections,0.055484987,0.486246278,0.829189842,Under,Multiple_Factors
BDI,1,9599161.87,83,0.007853379,4.51E-05,0.005747454,0.000228363,0.00543821,4.51E-05,0.039981489,0.952115985,0.007902526,Multiple_Factors,-1.722359131,"{'Research_Investment': 0.9532954760334832, 'Health_Infrastructure': 0.08695479402115301, 'Governance': 1.2266371629279984}",HIV/AIDS and sexually transmitted infections,0.056402267,0.02789327,0.034624985,Under,Multiple_Factors
BEL,9,133018.4846,3009.364288,1.636547801,0.001636548,7.96E-05,0.002055264,7.54E-05,0.001636548,0.545572273,0.020004116,0.434423611,Over_Performing,1.801325717,"{'Research_Investment': 0.0, 'Health_Infrastructure': 0.0, 'Governance': 0.0}",HIV/AIDS and sexually transmitted infections,-0.263413432,0.707209748,0.472479448,Over_Performing,Unknown
BEN,4,4599220.06,968,0.191162601,0.000526416,0.002753762,0.000913451,0.002605594,0.000526416,0.225796391,0.644078461,0.130125149,Governance,-0.691121152,"{'Research_Investment': 0.4946746096107928, 'Health_Infrastructure': 0.08185385901701211, 'Governance': 0.8280185045101172}",HIV/AIDS and sexually transmitted infections,-0.059263396,0.243023344,0.19554541,Under,Governance
BFA,5,10289378.4,584.7617346,0.051618047,0.000318004,0.006160718,0.001141813,0.005829238,0.000318004,0.156647626,0.799724743,0.043627631,Governance,-1.362775135,"{'Research_Investment': 0.5786717211476327, 'Health_Infrastructure': 0.08578656709181134, 'Governance': 1.1591547990955762}",HIV/AIDS and sexually transmitted infections,0.022767871,0.121951444,0.135660823,Under,Governance
BGD,2,6539250.103,600,0.083336463,0.000326291,0.003915346,0.000456725,0.003704679,0.000326291,0.101772791,0.825519274,0.072707936,Governance,-0.904498491,"{'Research_Investment': 0.22087169498870715, 'Health_Infrastructure': 0.03949021776297721, 'Governance': 0.47961071302255015}",HIV/AIDS and sexually transmitted infections,9.69E-05,0.123594331,0.088137822,Under,Governance
BGR,1,122042.0061,286,0.155532075,0.000155532,7.31E-05,0.000228363,6.91E-05,0.000155532,0.504072699,0.15261601,0.343311291,Over_Performing,5.414029399,"{'Research_Investment': 0.16422061572964444, 'Health_Infrastructure': 0.0, 'Governance': 0.0}",HIV/AIDS and sexually transmitted infections,-0.041782786,0.59534764,0.436539763,Over_Performing,Research_Investment
BHS,9,202140.9903,3344.143884,1.81860712,0.001818607,0.000121031,0.002055264,0.000114519,0.001818607,0.515311665,0.028713057,0.455975278,Over_Performing,3.039801801,"{'Research_Investment': 0.2873410138659432, 'Health_Infrastructure': 0.0, 'Governance': 0.0}",HIV/AIDS and sexually transmitted infections,-0.27028918,0.71363111,0.446272993,Over_Performing,Research_Investment
BRA,50,21472889.39,8674.879063,0.366931254,0.004717559,0.012856793,0.011418132,0.012165028,0.004717559,0.403457304,0.429848729,0.166693968,Health_Infrastructure,-1.471829987,"{'Research_Investment': 0.0, 'Health_Infrastructure': 0.07280008185079985, 'Governance': 0.0}",HIV/AIDS and sexually transmitted infections,-0.116520609,0.36842262,0.349404274,Under,Health_Infrastructure
BWA,53,11510076.74,47092.61735,3.716091271,0.025609834,0.006891605,0.01210322,0.0065208,0.025609834,0.273618936,0.147416495,0.578964568,Research_Investment,-0.351184599,"{'Research_Investment': 0.319558491942281, 'Health_Infrastructure': 0.049856883806735385, 'Governance': 0.17187471054283157}",HIV/AIDS and sexually transmitted infections,-0.240274596,0.715774037,0.23696095,Under,Research_Investment
