PMID,ISO3
39845951,ITA
27787342,COD
27787342,USA
29360237,CAN
29360237,CHN
29360237,FIN
29360237,KWT
29360237,SAU
29360237,USA
27787386,IRN
24641678,USA
25690268,USA
15728810,USA
24117425,CHN
25166023,DEU
25166023,USA
24641808,USA
27787547,ARG
27787547,BRA
27787547,CAN
27787547,DEU
27787547,FIN
27787547,GBR
27787547,RUS
27787547,USA
26214684,USA
27787564,USA
20447535,CZE
20447535,USA
20447535,ZAF
38273327,IRN
24641841,DEU
26739037,CAN
26739037,KHM
37224838,AUS
37224838,BRA
37224838,GBR
20447629,EGY
19923377,NLD
23593417,USA
21496284,DEU
21496284,FRA
21496284,NLD
30409184,ESP
30409184,MEX
30409184,PER
30409184,USA
22544892,USA
21496324,AUS
21496324,ZAF
22544914,USA
29360661,CAN
29360661,DEU
29360661,USA
18350631,IND
30409278,CAN
30409278,SWE
30409278,USA
19399262,KOR
24642148,IRN
27787893,USA
22545014,MEX
27787895,USA
39322237,DEU
22545024,NLD
26739339,AUS
26739339,BEL
26739339,NLD
19399308,CAN
24117908,BEL
24117908,NLD
22545079,GBR
28836546,CHN
20972285,IND
22545165,GBR
22545165,NER
22545165,USA
29360920,BEL
29360920,DEU
29360920,SVN
20448066,USA
30933830,USA
12583787,USA
20448107,DNK
20448107,GBR
20448107,NOR
20448107,SWE
15205246,USA
35652533,AUS
22021066,USA
26215396,NLD
26739717,GBR
26739717,POL
26739717,USA
26739737,CAN
26739742,CHN
26739742,USA
26215478,CAN
26215478,NOR
30409792,USA
37225537,MEX
23069814,USA
27264120,AUT
27264120,CAN
27264120,USA
28836987,TWN
11535506,SWE
19924114,AUS
19924114,BRA
19924114,CHE
19924114,ESP
19924114,GBR
19924114,ITA
19924114,USA
22545585,USA
29361335,CHE
29361335,COD
29361335,COG
29361335,GHA
29361335,LBR
29361335,LUX
29361335,UGA
29361335,USA
30409925,IND
12059873,FIN
26215666,CHE
19399934,THA
26739975,TUR
26739976,TUR
34080008,ARG
34080008,BRA
34080008,CHE
34080008,DEU
34080008,ESP
34080008,FRA
34080008,GBR
34080008,GRC
34080008,HRV
34080008,ISR
34080008,ITA
34080008,LBN
34080008,NLD
34080008,POL
34080008,ROU
34080008,SGP
34080008,SWE
34080008,UKR
34080008,USA
12584228,USA
26740049,CZE
26215765,USA
22545755,AUS
22545755,CHN
22545755,USA
18351473,URY
25167224,GBR
19924353,AUS
19924353,IRL
11011459,AUS
24642950,USA
27788679,CHE
11011475,AUS
22545821,ISR
22545821,USA
27264413,JPN
23594436,SWE
23594463,ESP
33031652,GBR
33555941,CAN
33555941,USA
35653117,USA
14681599,USA
38798847,IDN
24118794,FIN
17827352,SEN
25691677,USA
17827358,AUS
17827358,FRA
17827358,GBR
17827358,THA
31983177,THA
23594572,USA
27788877,USA
23070314,USA
39323258,DNK
32507538,USA
31983312,IRL
31983312,USA
30934747,ITA
29361887,USA
24643313,USA
24643315,ZAF
29361920,TWN
29361920,USA
17303309,CAN
29361939,BRA
29361939,GBR
23070488,USA
24119081,USA
19924786,DEU
29361981,CAN
29361981,USA
15730512,GHA
28837725,USA
30934894,USA
24119160,USA
29886347,SWE
16779201,USA
26216386,BEL
26216386,JPN
26216386,KOR
26740682,FRA
26740682,GHA
26740682,USA
17303529,VNM
17827829,JPN
25167875,JPN
16779269,CAN
38275116,CAN
38275116,FRA
24119351,USA
29362244,FRA
22022214,IND
38799438,CHN
38799438,SGP
29362258,CAN
19400874,FIN
19400874,ITA
19400874,NOR
19400874,USA
24119468,TWN
25692350,CHN
25692350,ITA
25692350,USA
24119487,CHE
24119487,GBR
23595205,BRA
23595205,GBR
16779463,CAN
25692382,USA
35129580,USA
28838145,USA
29362444,USA
30935324,USA
30935327,USA
30935335,USA
14682412,NLD
19401066,GBR
24119686,CAN
24119686,FIN
29362599,MEX
30935469,CHN
20974066,USA
23071247,CAN
23071247,USA
21498427,USA
24644195,AUS
24644195,GBR
24119916,AUS
24119916,GBR
24119916,MMR
24119916,NLD
24119916,THA
25692792,IND
35129994,USA
19401368,USA
24644249,TWN
24644249,USA
30935731,USA
24119994,AUS
24119994,GBR
24119994,MMR
24119994,NLD
24119994,THA
22022848,USA
22022855,CHN
22022855,USA
25692915,USA
16255753,USA
25168659,JPN
27265814,USA
16255784,IND
23071528,BEL
23071528,CHE
23071528,CHN
11012909,DEU
23071551,USA
39324506,GBR
24120179,EST
22547331,USA
24120216,IND
25168853,USA
29363217,CAN
29363217,CHE
29363217,DNK
29363217,USA
19926042,DEU
25168927,NLD
19926048,AUS
19926048,BEL
19926048,CAN
19926048,CHE
19926048,DEU
19926048,ESP
19926048,FRA
19926048,ITA
19926048,NZL
19926048,USA
21498915,JPN
28838955,CAN
28838955,CHE
28838955,CZE
28838955,POL
28838955,USA
23071824,GBR
23071824,TWN
25169073,BEL
25169073,BEN
25169073,BFA
25169073,CHE
25169073,GBR
25169073,GMB
25169073,JPN
25169073,NLD
37227729,BRA
37227729,CAN
37227729,CHE
37227729,ESP
37227729,ITA
37227729,USA
27266282,TUR
15207665,USA
26742001,GBR
26742001,ISL
21499182,CAN
21499182,USA
21499183,USA
26742063,NLD
29363535,GBR
39325020,BEL
39325020,ESP
39325020,JPN
39325020,USA
24120672,USA
20975012,USA
19926442,USA
28839337,USA
30412221,AUT
30412221,DEU
30412222,DEU
30412222,DNK
30412222,FRA
30412222,GBR
30412222,ITA
30412222,USA
30412235,USA
18353631,BEL
23072247,SWE
26742307,CHN
25693859,JPN
25693859,USA
25169589,DEU
22023876,NLD
27266776,AUS
27266776,NLD
26742509,USA
12062463,USA
23596809,CHN
23596812,CHN
23596814,CHN
16256784,USA
29363988,CHN
27266861,ESP
27266867,CHN
21499703,JPN
28315480,KEN
28315480,USA
28315480,ZAF
22024027,DEU
30412652,BEL
30412652,IRL
30412652,SWE
39325552,GBR
27791225,BEL
27791225,FRA
27791225,NLD
27791228,NLD
22024104,GBR
26742708,USA
29888454,CHN
29888454,ITA
29888454,JPN
29888454,USA
39325643,CAN
39325643,FRA
21499862,USA
24121307,AUS
24121307,DEU
24121307,NLD
35131363,USA
20975611,USA
26218494,ESP
24645632,NOR
24645632,USA
27267111,USA
16781360,USA
17305652,SWE
39325746,JPN
27267151,USA
27267154,USA
12587093,AUS
20451454,USA
17305736,DEU
19402905,AUS
19402905,GBR
24645793,USA
22548691,COL
18354393,USA
14684393,FIN
24645907,DEU
22548767,JPN
24645942,DEU
25170230,CHN
25170231,CHN
28840263,DEU
28840263,ISR
28840263,ITA
28840263,SVN
22024529,ZAF
30937431,ITA
26218852,CHE
26218852,NLD
28316011,POL
23597420,CAN
23597420,USA
34083231,CHN
14684584,GBR
20976051,GBR
20976051,KEN
20976051,UGA
20976051,USA
26218933,USA
27267518,DEU
24646104,JPN
22024668,PHL
22024668,USA
28840422,JPN
39850477,POL
39326192,GBR
39326192,NZL
38277635,USA
29364767,CAN
18354721,USA
24121920,USA
