ISO3,Disease,Participants,DALYs,PBR,log_pbr,income_group,rd_expenditure,total_publications,total_citations,researchers_per_million,doctors_per_10k,hospital_beds,sanitation,uhc_index,gdp_per_capita,hdi,democracy_index,trust_scientists,altruism
AGO,HIV/AIDS and sexually transmitted infections,3976.0,845583.6119730306,0.1058701593991854,-2.2454473961541637,L,-0.8144684575382685,24.12,437.72,35.450738799999996,1.5514,24281.724,-1.2878847399390634,-1.568937891385122,9754.451718302276,-1.174392950125981,-1.2330271067596574,-1.16608350471377,-0.3677773910794196
ARG,HIV/AIDS and sexually transmitted infections,1035.386452631579,105574.96411947857,0.2208133285601881,-1.5103923154492656,UM,-0.1971266896177451,2264.52,74790.52,1070.2597744000002,44.25206,181393.79928400004,-0.1479497937403469,0.7764603378206705,25990.3505237228,0.6905695827419523,0.8295144996597187,0.3344486229405448,-0.4775553563135469
AUS,HIV/AIDS and sexually transmitted infections,9130.912635,7949.0490824922545,2.886564732689063,1.060070585600836,H,1.686037901709881,22961.92,947877.52,4359.00251,33.058800000000005,85850.1701944,1.456383302363544,1.3180591461304236,54212.04883866928,1.2635086634330837,1.1629095068767166,0.669592854497853,2.2668937745396383
AUT,HIV/AIDS and sexually transmitted infections,211.66253571428572,2958.974582536065,0.0669130934932438,-2.7042111771948796,H,2.655772449106955,5286.92,240017.96,4695.050182000001,48.396800000000006,63505.0815056,1.6309661067007597,0.8590771051899555,60268.85667814417,1.1438676880877248,1.1294922917011208,0.9514186855801358,1.3042254640249829
BDI,HIV/AIDS and sexually transmitted infections,581.0,389247.2740628998,0.0336073524993765,-3.392712901890168,L,-0.6220351334192457,17.6,368.2,20.6824158,0.5528,8759.857224799998,-1.2878847399390634,-1.4450127403311952,1019.3543992426344,-2.0178246707283605,-1.2653563195806996,-1.16608350471377,-2.4408920422315954
BEL,HIV/AIDS and sexually transmitted infections,962.97709,5321.553527658093,0.3044269305268127,-1.1892913379921604,H,2.2618360855426443,7814.2,391540.56,4406.680888,31.26,65894.4112724,1.0201304133783438,1.1229917787307244,56940.3921111463,1.2300686392682318,1.2583428562619086,1.24847834536957,-0.013110118784546
BEN,HIV/AIDS and sexually transmitted infections,3901.9375571428577,180791.5843897623,0.485943584613004,-0.7216421645540421,L,-0.5072401214689258,99.28,2101.76,,0.7802,4799.8084716,-1.4796755259063692,-1.9682522670033291,3038.469075736016,-1.505573041299367,0.05470139430926,-3.009376778278969,-1.0897786239654117
BFA,HIV/AIDS and sexually transmitted infections,2144.097125,411365.0961505409,0.1173547745909339,-2.1424684626847874,L,-0.5476922417657978,159.56,3312.8,46.57809999999999,0.665,4295.738,-1.3435486109526469,-1.8580965771776168,2061.603181376113,-2.060182034670506,-0.1773539650263939,-0.9528099028136646,-1.0855563945333295
BGD,HIV/AIDS and sexually transmitted infections,5234.5,267141.01525889436,0.441182604959959,-0.8182737529400891,L,-0.5977808384269677,1578.28,27412.72,,4.420799999999999,98716.98583,-1.0628404320668117,-1.4312432791029814,5113.32897934955,-0.8813592568887959,-0.8733646141255625,-0.2672876109918965,-1.2797789484090936
BGR,HIV/AIDS and sexually transmitted infections,1650.1651,4870.953293615398,0.5216683776510934,-0.650704015756547,LM,-0.0529334492358485,540.64,14482.68,1794.3050359999995,39.0588,51813.283158,0.3708480312202768,0.1866684152121687,22821.77151822954,0.4636728261863637,0.4064370126458878,0.3725331947084208,-1.5500016320623302
BHS,HIV/AIDS and sexually transmitted infections,23052.0681,8102.718707888637,7.287473821394917,1.9861583316254217,H,-0.8138068089056336,36.96,823.12,,22.5584,1058.0563458,1.2020927093083464,0.8774363868275739,33575.55781679383,0.4698654232539282,0.8215876253622518,0.943801771226561,0.8017801616072459
BLR,HIV/AIDS and sexually transmitted infections,335.26079999999996,19286.098006255823,0.1059863389584519,-2.2443507235943367,LM,-0.0607532128429428,198.64,3022.28,1472.9208640000004,39.4592,100249.4446188,0.8904415654722012,0.624996264310316,22194.85517432224,0.4379116223852935,-1.3315690343007185,0.0602397062118369,-1.030667411916266
BOL,HIV/AIDS and sexually transmitted infections,878.8254999999999,93478.7317274988,0.2116769587102938,-1.5526467054299424,LM,-0.6163180276179551,58.8,2683.08,100.5244707968,9.19619999988,12581.1942184,-0.2250687763546017,-0.5178690176314497,9949.461080913694,-0.2566500647128187,0.2946836279423804,-0.4196258980634005,-0.2453327375490466
BRA,HIV/AIDS and sexually transmitted infections,29734.191954545455,856893.6057805748,0.7812912982961229,-0.2467944182681314,UM,0.5891447452387177,13637.08,322292.68,714.2783391999999,20.265399999999996,489032.7424200001,-0.3604685310344718,0.8039992602770988,17255.480171781295,0.1272909534762228,0.9720428081063328,-0.0844816665060912,-0.4606664385852196
BWA,HIV/AIDS and sexually transmitted infections,86587.12085,457135.897873921,4.264731763720694,1.4503816313311129,UM,-0.2097087846620601,121.56,3325.96,173.69786240000005,3.6592,4949.3935444,0.1460837543893123,-0.5706519523396035,16066.874131336312,-0.3802543021814212,0.4232233346875828,-1.9734764261927416,-0.4015552265360742
CAF,HIV/AIDS and sexually transmitted infections,1725.5,510851.7206281597,0.0760508113695087,-2.576222109046037,L,-0.5072401214689258,18.04,297.52,,0.6061000000000001,4812.727568,-1.2883629177770182,-2.025625022120888,1211.117442736569,-2.2795238228036654,-0.9414424757391032,-1.16608350471377,-0.1693326077715739
CAN,HIV/AIDS and sexually transmitted infections,5804.810643478261,23374.536471995863,1.8350807146237091,0.6070939160468659,H,1.489609040499211,29544.04,1275399.56,4570.958856,22.546620000000004,99529.369204,0.875489649203869,1.3731369910432796,54193.397774207595,1.2082706975904025,1.0116771795936688,0.9361848568729852,2.102226826688448
CHE,HIV/AIDS and sexually transmitted infections,2987.2606055555557,4282.512214681078,0.9443657448101342,-0.0572311572749578,H,2.83128423767282,11251.64,585294.32,4556.711074,40.1264,40273.9280124,1.5890091833903168,1.1229917787307244,75268.81661408668,1.322462187516304,1.262539436772333,0.9361848568729852,1.3760033643703735
CHL,HIV/AIDS and sexually transmitted infections,533.3479692307692,29385.819550326032,0.1686078379867085,-1.7801204383779647,UM,-0.4130662354494351,1847.84,56678.32,427.5335204,18.3712,38510.5147576,1.0855542670616256,0.5905726112397812,25118.03849731798,0.6531662964538584,1.18093926018076,0.2963640511726688,0.316223776917836
CHN,HIV/AIDS and sexually transmitted infections,49790.02854117647,1367685.83997585,0.819671383743228,-0.1988395706421379,LM,1.4510467220526826,70455.56,1591215.32,1135.717754,17.930799999999998,4576265.56984,-0.4306275453050752,0.5951624316491857,12907.16100572696,-0.0636887400874875,-1.873083349053176,1.4389012042089502,-1.7653353330985035
CIV,HIV/AIDS and sexually transmitted infections,9926.682066666666,1738556.4803384717,0.1285579850729588,-2.05129744783768,L,-0.7664348184326426,112.92,2443.28,63.99303,1.6373999999999995,8218.7208,-1.1558010247055155,-1.642375017935597,5070.246318122955,-1.4575184880550616,-0.449976269296144,-2.10296397020352,-1.246001112952439
CMR,HIV/AIDS and sexually transmitted infections,3817.934408333333,1690036.623523862,0.0508646541244031,-2.978390433780018,L,-0.5072401214689258,322.64,7905.04,,1.2016,62153.52664999999,-1.2878847399390634,-1.422063638284172,4525.251514428976,-1.2093191975870483,-1.0312803844437304,-2.64376488930736,-0.295999490734029
COD,HIV/AIDS and sexually transmitted infections,40255.192833333334,2085738.8669327484,0.4345559752129724,-0.8334075041165394,L,-0.4953296767226226,140.12,2689.56,10.10515,1.2394,48492.72640000001,-1.2770076933611387,-1.7525307077613093,1285.819981235234,-1.6878830989684863,-1.0872347912493805,-1.16608350471377,-1.3642235370507303
COL,HIV/AIDS and sexually transmitted infections,7278.210725,158889.90466735046,1.0313642410828652,0.0308921276116452,LM,-0.5575000287062973,1535.84,34683.2,70.2291404,18.6208,74993.781868,-1.260564016157332,0.6410606357432325,15052.503408239549,0.096080264255694,0.2129280224430147,-0.0768647521525165,0.088223387585417
CRI,HIV/AIDS and sexually transmitted infections,39.312733333333334,10655.828039028514,0.0124279745214767,-4.387001024744674,UM,-0.3306758499618466,168.72,5317.68,325.1844104,21.7234,5792.390856399999,-1.0313112732057932,0.957758243992156,20060.82964907356,0.3494813362604607,1.2672023040061362,0.1364088497475889,0.3880016772632269
CYP,HIV/AIDS and sexually transmitted infections,476.0,400.51469869364666,0.1504783659295185,-1.8938695005751185,H,-0.2176931910684379,465.16,12374.08,1138.2687364,24.4508,2915.2800792,0.8165243500751518,0.4207492560918083,42427.20460720808,0.8961638053851175,0.9855651230843652,0.1135581066868635,0.4302239715840451
CZE,HIV/AIDS and sexually transmitted infections,231.5984222222222,1777.8599977459169,0.0732154456467535,-2.614212300295005,UM,1.1611697366947522,2464.28,83101.08,3115.7949599999997,38.12964,73756.44399880001,1.2863611701080897,0.9462836929686442,40335.77650259335,0.948181620752665,1.142082033232391,1.3551151463196212,-0.7013335162138837
DEU,HIV/AIDS and sexually transmitted infections,4187.924065,35997.02036048968,1.3239327099540057,0.2806141861511364,H,2.728296832832491,34293.0,1532108.0,4359.623428000001,39.07,677483.163832,1.515365013659394,1.1138121379119152,57073.37934866153,1.3090861778503635,1.228189648149975,1.4998365190375504,0.8735580619526369
DNK,HIV/AIDS and sexually transmitted infections,1869.3387176470587,2105.2401504423015,0.5909559571435105,-0.525996865361145,H,2.688188615952814,7153.56,338384.52,6645.832076,37.828,17918.6769232,1.518770655459118,0.8980905786698948,63245.14222976299,1.2768846730990249,1.3472481915197752,1.0732893152373375,1.0128916332113371
DOM,HIV/AIDS and sexually transmitted infections,996.3563125,127232.7128609012,0.1763192127157775,-1.7354025044065178,LM,-0.6163180276179551,76.56,1606.92,23.9788592,15.9652,13655.559303199998,-0.1924475372210277,0.4207492560918083,16818.470743654518,-0.0089461820102115,0.2587795502420891,0.288747136819093,0.3120015474857542
ECU,HIV/AIDS and sexually transmitted infections,469.58212,70272.28927584235,0.1484494749733594,-1.9074432537845116,LM,-0.465617549869982,328.24,6772.68,240.1625596,15.6632,22522.0236884,-0.2250687763546017,0.487301652028176,12441.051274374971,0.0782455847011063,0.2217874701872428,-0.983277560227966,-1.0180007236200206
EGY,HIV/AIDS and sexually transmitted infections,280.0,56403.83029965887,0.0885166858408932,-2.424451237495425,LM,-0.1462666824577513,5285.44,71870.08,621.9283252000001,6.3452,133970.47101199997,-0.6458053506197035,0.4850067418234732,13357.879306684385,-0.2197421861901304,-1.449850433131551,-0.5491134420741792,-1.030667411916266
ESP,HIV/AIDS and sexually transmitted infections,24987.576365,66398.95480763758,7.899348025092978,2.0667814935245294,H,0.7212703352108207,17886.52,638478.0,2728.3601160000003,37.743199999999995,142394.354176,1.3191574531884838,0.8797312970322765,43711.9780393328,0.9521448828759064,1.1705255233585974,1.2256276023088415,-0.4944442740418742
EST,HIV/AIDS and sexually transmitted infections,1005.815,2067.8688574825537,0.3179693227466358,-1.145768921125356,UM,0.9088682387994828,389.56,18838.48,3225.7261000000003,32.8172,6929.693693999999,1.3200029007099876,0.551559137759841,34147.59681739785,0.88303549960188,1.222438778561617,1.126607715712365,-1.0222229530521023
ETH,HIV/AIDS and sexually transmitted infections,12986.972809090908,2019482.6393932516,0.1447943300586839,-1.9323718957574356,L,-0.4948360047777304,1176.0,22007.16,52.3478988,0.5660000000000001,26162.863530400005,-1.6890782080036626,-2.3698615528262392,1821.9964066710625,-1.9155229671721832,-1.2364465427311138,0.3192147942333942,-0.6886668279176381
