Period,Between_Percent,Within_Percent,Total_Theil,Between_CI_Lower,Between_CI_Upper,Within_CI_Lower,Within_CI_Upper
2000,40.371923285458905,59.62807671454109,2.794955909481942,25.332346657697126,59.95738015444269,40.04261984555731,74.66765334230287
2002,46.687105969772496,53.31289403022751,4.010977018696245,21.35831752901146,64.16869737908576,35.83130262091424,78.64168247098853
2004,31.145226949003973,68.85477305099603,3.142512017864766,21.77846726228652,42.33577492667353,57.66422507332646,78.22153273771347
2006,15.164582636730492,84.8354173632695,2.2795391459283154,10.554048695910378,33.04931405872242,66.95068594127757,89.44595130408962
2008,22.583950479154122,77.41604952084589,2.6781735359054544,19.4498360798032,33.29005247022926,66.70994752977073,80.55016392019681
2010,23.949722011530618,76.05027798846939,2.8795758352041783,18.861488520710285,34.97625991347195,65.02374008652806,81.13851147928972
2012,17.376930433333655,82.62306956666635,3.3256117243089407,10.269672746920415,31.13227810542771,68.86772189457228,89.73032725307958
2014,17.12090411102115,82.87909588897887,2.336405429588337,13.271544754826612,25.64085646950258,74.3591435304974,86.72845524517338
2016,23.633218111146633,76.36678188885337,3.8233904419020073,18.866618049486398,35.05273794887105,64.94726205112896,81.13338195051361
2018,16.2764118921685,83.7235881078315,2.4346026165120085,13.821625086139536,29.218376163769342,70.78162383623065,86.17837491386047
2020,18.141911052492198,81.8580889475078,2.7198248301031613,16.343702664609435,25.14130646065289,74.8586935393471,83.65629733539056
2022,24.487840709487138,75.51215929051286,3.5942025290941246,19.78694467583524,35.18617070932731,64.8138292906727,80.21305532416474
2024,29.173086279626688,70.82691372037331,4.528376677163336,25.079512212115468,38.65144738777413,61.34855261222587,74.92048778788453
