PMID,TA,JID,Category
38995162,Int J Surg,101228232,E
37890049,Neurogastroenterol Motil,9432572,G
23444220,Clin Cancer Res,9502500,C
39806626,BMJ Open,101552874,H
39266468,J Am Geriatr Soc,7503062,H
39012226,Am J Respir Crit Care Med,9421642,C
37589403,J Child Psychol Psychiatry,375361,H
39768882,Medicina (Kaunas),9425208,H
39462182,BJU Int,100886721,C
39714637,Support Care Cancer,9302957,I
39727287,Neurorehabil Neural Repair,100892086,C
35657063,Acta Oncol,8709065,G
39385046,Nat Med,9502015,H
39129059,ESC Heart Fail,101669191,C
30334633,Mod Rheumatol,100959226,C
39734220,Eur J Med Res,9517857,H
32895647,Oral Health Prev Dent,101167768,E
39159624,Am J Nephrol,8109361,H
39560745,Diabetologia,6777,C
39282917,N Engl J Med,255562,H
33820636,J Thorac Cardiovasc Surg,376343,H
39691972,J Pediatr Orthop,8109053,H
37357024,Arthritis Care Res (Hoboken),101518086,C
24939366,Am J Otolaryngol,8000029,H
39614201,BMC Musculoskelet Disord,100968565,C
39480270,J Appl Physiol (1985),8502536,H
39532398,Diabetes Obes Metab,100883645,C
31452471,Int Psychogeriatr,9007918,F
38262165,J Psychiatr Res,376331,F
37791406,J Am Geriatr Soc,7503062,H
39607729,Epilepsia Open,101692036,C
39675479,J Nutr,404243,G
39632100,BMJ Open Respir Res,101638061,C
38911475,Psychooncology,9214524,C
36779437,Cogn Behav Ther,101143317,F
22264496,Int Psychogeriatr,9007918,F
39420528,Diabetes Obes Metab,100883645,C
39630812,PLoS One,101285081,H
11078235,Am J Cardiol,207277,H
29117073,Med Sci Sports Exerc,8005433,I
37594401,Clin Orthop Relat Res,75674,H
39400653,J Epidemiol Glob Health,101592084,H
28872918,Amyotroph Lateral Scler Frontotemporal Degener,101587185,F
32515412,Oral Health Prev Dent,101167768,E
39679192,Acta Biochim Pol,14520300R,H
34424102,J Clin Child Adolesc Psychol,101133858,F
39665835,Eur J Phys Rehabil Med,101465662,E
37494830,J Cardiovasc Nurs,8703516,C
30784354,Mod Rheumatol,100959226,C
39556242,Circulation,147763,A
39548306,Bone Marrow Transplant,8702459,E
39423355,J Clin Oncol,8309333,H
38134254,Stroke,235266,C
38060990,JCO Oncol Pract,101758685,C
39106420,JCO Oncol Pract,101758685,C
37847518,Clin J Am Soc Nephrol,101271570,H
37940550,Neurology,401060,H
26261865,Psychother Res,9110958,F
39555866,J Cosmet Dermatol,101130964,H
36384392,Scand J Gastroenterol,60105,H
39809236,Med Sci Sports Exerc,8005433,I
39363100,Nat Med,9502015,H
37555595,J Clin Sleep Med,101231977,G
39699303,Radiol Cardiothorac Imaging,101748663,C
39636814,PLoS One,101285081,H
37815773,J Adolesc Health,9102136,H
39604777,AIDS Behav,9712133,N
39689944,BMJ,8900488,H
34384301,Curr Med Res Opin,351014,H
39731852,EBioMedicine,101647039,H
39696106,BMC Psychiatry,100968559,F
37786302,Arthritis Rheumatol,101623795,C
38913440,Int J Surg,101228232,E
30974973,Curr Med Res Opin,351014,H
24859114,Appetite,8006808,J
39680406,JAMA Netw Open,101729235,N
37751186,J Palliat Med,9808462,E
27755225,J Cardiovasc Nurs,8703516,C
39768887,Medicina (Kaunas),9425208,H
35723714,Oral Health Prev Dent,101167768,E
34153272,Lancet Respir Med,101605555,C
39661863,Einstein (Sao Paulo),101281800,H
26674087,Int Psychogeriatr,9007918,F
37062298,Lancet,2985213R,H
38652147,Int J Surg,101228232,E
39636961,PLoS One,101285081,H
39514119,J Gerontol A Biol Sci Med Sci,9502837,H
39343724,J Gastroenterol Hepatol,8607909,C
39671157,J Interv Card Electrophysiol,9708966,H
39278221,Dermatology,9203244,C
39749348,Front Immunol,101560960,G
39724024,Pediatr Crit Care Med,100954653,E
37140143,Acta Ophthalmol,101468102,C
30198828,J Am Coll Nutr,8215879,G
