source,target,weight,disease
AFG-As_Expected,DNK-As_Expected,2,"Mental disorders, Substance use disorders"
AFG-As_Expected,EGY-As_Expected,2,"Mental disorders, Substance use disorders"
AFG-As_Expected,ESP-As_Expected,2,"Mental disorders, Substance use disorders"
AFG-As_Expected,FIN-Research_Capacity,2,"Mental disorders, Substance use disorders"
AFG-As_Expected,FRA-Research_Capacity,2,"Mental disorders, Substance use disorders"
AFG-As_Expected,GBR-As_Expected,2,"Mental disorders, Substance use disorders"
AFG-As_Expected,IRN-As_Expected,2,"Mental disorders, Substance use disorders"
AFG-As_Expected,LKA-As_Expected,2,"Mental disorders, Substance use disorders"
AFG-As_Expected,LSO-As_Expected,2,"Mental disorders, Substance use disorders"
AFG-As_Expected,MEX-As_Expected,2,"Mental disorders, Substance use disorders"
AFG-As_Expected,MYS-As_Expected,2,"Mental disorders, Substance use disorders"
AFG-As_Expected,NAM-As_Expected,2,"Mental disorders, Substance use disorders"
AFG-As_Expected,NPL-As_Expected,2,"Mental disorders, Substance use disorders"
AFG-As_Expected,NZL-As_Expected,2,"Mental disorders, Substance use disorders"
AFG-As_Expected,POL-Research_Capacity,2,"Mental disorders, Substance use disorders"
AFG-As_Expected,QAT-As_Expected,2,"Mental disorders, Substance use disorders"
AFG-As_Expected,SAU-Research_Capacity,2,"Mental disorders, Substance use disorders"
AFG-As_Expected,SRB-As_Expected,2,"Mental disorders, Substance use disorders"
AFG-As_Expected,SWE-As_Expected,2,"Mental disorders, Substance use disorders"
AFG-As_Expected,THA-As_Expected,2,"Mental disorders, Substance use disorders"
AFG-As_Expected,UKR-As_Expected,2,"Mental disorders, Substance use disorders"
AFG-As_Expected,ZAF-As_Expected,2,"Mental disorders, Substance use disorders"
AFG-As_Expected,ZMB-As_Expected,2,"Mental disorders, Substance use disorders"
AFG-Governance,ARE-Governance,2,"Chronic respiratory diseases, Maternal and neonatal disorders"
AFG-Governance,ARG-Governance,2,"Chronic respiratory diseases, Maternal and neonatal disorders"
AFG-Governance,AUS-As_Expected,2,"Chronic respiratory diseases, Maternal and neonatal disorders"
AFG-Governance,AUT-Governance,2,"Chronic respiratory diseases, Maternal and neonatal disorders"
AFG-Governance,BEN-As_Expected,2,"Chronic respiratory diseases, Maternal and neonatal disorders"
AFG-Governance,BFA-Governance,2,"Chronic respiratory diseases, Maternal and neonatal disorders"
AFG-Governance,BGD-Governance,2,"Chronic respiratory diseases, Maternal and neonatal disorders"
AFG-Governance,BHR-Governance,2,"Chronic respiratory diseases, Maternal and neonatal disorders"
AFG-Governance,BIH-As_Expected,2,"Chronic respiratory diseases, Maternal and neonatal disorders"
AFG-Governance,BLR-Governance,2,"Chronic respiratory diseases, Maternal and neonatal disorders"
AFG-Governance,BRA-As_Expected,2,"Chronic respiratory diseases, Maternal and neonatal disorders"
AFG-Governance,CHE-Governance,2,"Chronic respiratory diseases, Maternal and neonatal disorders"
AFG-Governance,CHL-As_Expected,2,"Chronic respiratory diseases, Maternal and neonatal disorders"
AFG-Governance,CHN-Governance,2,"Chronic respiratory diseases, Maternal and neonatal disorders"
AFG-Governance,CMR-Governance,2,"Chronic respiratory diseases, Maternal and neonatal disorders"
AFG-Governance,COD-Governance,2,"Chronic respiratory diseases, Maternal and neonatal disorders"
AFG-Governance,CRI-Governance,2,"Chronic respiratory diseases, Maternal and neonatal disorders"
