node_id,ISO3,visual_factor,status,disease_count,avg_residual,cis_avg
AFG-As_Expected,AFG,As_Expected,Borderline,2,0.20331203733416814,-0.1384439276438062
AFG-Governance,AFG,Governance,Under,3,-1.0584639848000428,-0.13336966981476595
AFG-Health_Infrastructure,AFG,Health_Infrastructure,Under,3,-1.0858949236646214,0.01085376266610656
AFG-Research_Capacity,AFG,Research_Capacity,Over_Performing,2,0.5671643490718256,-0.2108540795404264
AGO-As_Expected,AGO,As_Expected,Borderline,4,0.4659306502691446,0.00289069065874948
AGO-Health_Infrastructure,AGO,Health_Infrastructure,Under,2,-1.5341993960607863,0.05724694668236595
ALB-As_Expected,ALB,As_Expected,Borderline,4,0.29113161545817606,-0.02290788174420967
ARE-As_Expected,ARE,As_Expected,Borderline,5,0.38006262649512934,-0.04711479700292319
ARE-Governance,ARE,Governance,Over_Performing,2,3.250760242538848,0.06389209905461175
ARE-Research_Capacity,ARE,Research_Capacity,As_Expected,3,0.09947844121707432,-0.05419842210411289
ARG-As_Expected,ARG,As_Expected,Borderline,9,-0.3297564062793299,-0.0685490284703378
ARG-Governance,ARG,Governance,Over_Performing,2,2.2893526610882153,-0.24826502713881965
ARG-Health_Infrastructure,ARG,Health_Infrastructure,Over_Performing,2,1.1359704641652089,-0.12971725608219603
ARG-Research_Capacity,ARG,Research_Capacity,As_Expected,2,-0.5017710085810274,-0.00410405637246148
ARM-As_Expected,ARM,As_Expected,Borderline,3,0.1983175763743481,0.011617533231705633
AUS-As_Expected,AUS,As_Expected,Borderline,9,0.4944186098929699,-0.20221099064029202
AUS-Research_Capacity,AUS,Research_Capacity,As_Expected,5,0.6001788794139287,-0.054177830471869595
AUT-As_Expected,AUT,As_Expected,Borderline,2,-0.28308686234872615,-0.20869947850353926
AUT-Governance,AUT,Governance,Under,2,-1.7656945878706465,-0.02398695357944758
AUT-Health_Infrastructure,AUT,Health_Infrastructure,Under,2,-1.4221737914949026,-0.06360068065166143
AUT-Multiple_Factors,AUT,Multiple_Factors,Under,2,-1.5530120190115446,-0.045850997885113244
AUT-Research_Capacity,AUT,Research_Capacity,Under,8,-1.0254157090372327,-0.08629534572888833
BDI-As_Expected,BDI,As_Expected,Borderline,3,0.8291818958681093,-0.18501553955657343
BDI-Multiple_Factors,BDI,Multiple_Factors,Under,2,-0.05314846552460217,-0.10403902761332781
BEL-As_Expected,BEL,As_Expected,Borderline,9,-0.2979889140441208,-0.11261978366112466
BEL-Multiple_Factors,BEL,Multiple_Factors,Under,2,-0.7232763740423336,-0.17441675908254478
BEL-Research_Capacity,BEL,Research_Capacity,As_Expected,3,-0.46597338200048183,-0.16826374355742982
BEN-As_Expected,BEN,As_Expected,Borderline,4,0.26633647392308013,-0.013340810418193768
BEN-Health_Infrastructure,BEN,Health_Infrastructure,Under,2,-1.1377474417492592,0.06527566141782347
BEN-Research_Capacity,BEN,Research_Capacity,Over_Performing,3,0.6046765341018187,-0.1291070960866927
BFA-As_Expected,BFA,As_Expected,Borderline,5,-0.006711354602631859,-0.07796064689500441
BFA-Governance,BFA,Governance,Over_Performing,2,2.419161278323073,-0.13986999252226948
BFA-Research_Capacity,BFA,Research_Capacity,Over_Performing,2,2.059237756841129,-0.23188167571088877
BGD-As_Expected,BGD,As_Expected,Borderline,7,0.8411682198942366,-0.03918292411150063
BGD-Governance,BGD,Governance,Over_Performing,2,2.3767967973064965,-0.14670759513703446
BGD-Health_Infrastructure,BGD,Health_Infrastructure,Over_Performing,3,0.3708042139914694,-0.04660587950346345
BGD-Research_Capacity,BGD,Research_Capacity,Over_Performing,3,0.8548914381862355,-0.10682552699905119
BGR-As_Expected,BGR,As_Expected,Borderline,10,0.29469848532539344,-0.04807607192805167
BGR-Health_Infrastructure,BGR,Health_Infrastructure,Under,2,-0.6020106456207918,0.04108607954264703
BGR-Research_Capacity,BGR,Research_Capacity,Under,2,-2.649992623207403,0.06418723262782064
BHR-As_Expected,BHR,As_Expected,Borderline,2,0.10263589481643631,0.05284652098846909
BHR-Governance,BHR,Governance,Over_Performing,2,4.1729398105252,-0.13366766081751985
BHS-As_Expected,BHS,As_Expected,Borderline,2,0.7273213374274006,0.04167481529930245
BHS-Research_Capacity,BHS,Research_Capacity,Under,2,-3.0501908740770847,0.05758925699288878
BIH-As_Expected,BIH,As_Expected,Borderline,9,0.1647412349203841,0.021391757413430277
BIH-Research_Capacity,BIH,Research_Capacity,As_Expected,2,1.0431337340154043,0.028418821186690896
BLR-As_Expected,BLR,As_Expected,Borderline,5,-0.08945524048652516,0.02813766758654655
BLR-Governance,BLR,Governance,Over_Performing,2,3.37883960068072,-0.020593691271628446
BLR-Health_Infrastructure,BLR,Health_Infrastructure,Over_Performing,3,2.55606109810293,-0.059885202264588856
BLR-Research_Capacity,BLR,Research_Capacity,Over_Performing,4,0.5252281641707364,0.005656987486646751
BMU-Multiple_Factors,BMU,Multiple_Factors,Under,2,-2.546048004547864,0.06962074187798964
BOL-As_Expected,BOL,As_Expected,Borderline,3,0.23743497198165509,-0.04448289882057737
BOL-Governance,BOL,Governance,Under,3,-0.6438615458382776,-0.004661971854334206
BOL-Health_Infrastructure,BOL,Health_Infrastructure,Under,3,-0.9637286216699051,0.03814953447947623
BOL-Research_Capacity,BOL,Research_Capacity,Under,2,-1.1102935629061412,0.023585717875728412
BRA-As_Expected,BRA,As_Expected,Borderline,8,0.4847009432398566,-0.1259445585170694
BRA-Health_Infrastructure,BRA,Health_Infrastructure,As_Expected,5,-0.5766438848243596,-0.04673181410229413
BRA-Research_Capacity,BRA,Research_Capacity,As_Expected,2,-0.8705839627945477,-0.09128570384779314
BWA-As_Expected,BWA,As_Expected,Borderline,4,0.25998858415422876,-0.0253844710606426
BWA-Health_Infrastructure,BWA,Health_Infrastructure,Over_Performing,2,3.2102411705768668,-0.22025216478847323
BWA-Multiple_Factors,BWA,Multiple_Factors,Over_Performing,2,2.657684909665606,-0.1934027001195635
BWA-Research_Capacity,BWA,Research_Capacity,Over_Performing,3,0.19634093475308698,-0.05809611406245709
CAN-As_Expected,CAN,As_Expected,Borderline,6,0.04995319914606559,-0.13492740415765067
CAN-Health_Infrastructure,CAN,Health_Infrastructure,Under,2,-0.838778737860665,-0.1722641992425074
CAN-Multiple_Factors,CAN,Multiple_Factors,Under,2,-0.9221624804260269,-0.2330817233498163
CAN-Research_Capacity,CAN,Research_Capacity,As_Expected,6,-0.23701179603896974,-0.17337601064193595
CHE-As_Expected,CHE,As_Expected,Borderline,9,0.2244037705586091,-0.17302122884377347
CHE-Governance,CHE,Governance,Under,2,-1.1170822565550036,-0.10849788546802397
CHE-Health_Infrastructure,CHE,Health_Infrastructure,Under,2,-1.228426712088578,-0.12104077515899114
CHE-Multiple_Factors,CHE,Multiple_Factors,Under,2,-1.0352472478013528,-0.19514612499884462
CHL-As_Expected,CHL,As_Expected,Borderline,10,0.8008002785621127,-0.12260644092408506
CHL-Health_Infrastructure,CHL,Health_Infrastructure,As_Expected,3,-0.05315661252834634,-0.057337821352532375
CHL-Research_Capacity,CHL,Research_Capacity,Under,2,-0.528458772233886,-0.00847228402447571
CHN-As_Expected,CHN,As_Expected,Borderline,3,0.5007989005384966,-0.16623914255764696
CHN-Governance,CHN,Governance,Under,2,-2.1479490432823773,-0.03003249764829151
CHN-Health_Infrastructure,CHN,Health_Infrastructure,Under,3,-0.95962123429675,-0.09059895416791656
CHN-Multiple_Factors,CHN,Multiple_Factors,Under,2,-0.9902886869775938,-0.09103081898315876
CHN-Research_Capacity,CHN,Research_Capacity,Under,6,-1.5206571611732063,-0.04267796454208735
CIV-As_Expected,CIV,As_Expected,Borderline,4,0.2998514660108893,0.0040453947367938
CIV-Health_Infrastructure,CIV,Health_Infrastructure,As_Expected,3,-0.6147745183761039,0.011236415348314044
CIV-Research_Capacity,CIV,Research_Capacity,Over_Performing,2,-0.010542730296158265,-0.08856346028884
CMR-As_Expected,CMR,As_Expected,Borderline,4,0.6973490140578639,-0.03594843369627373
CMR-Governance,CMR,Governance,Under,2,-1.705391599559047,0.023533423736932443
CMR-Health_Infrastructure,CMR,Health_Infrastructure,As_Expected,3,-0.6654667904795033,0.0072353970835124124
CMR-Multiple_Factors,CMR,Multiple_Factors,Under,2,-1.8958491826402866,0.03924744448072448
CMR-Research_Capacity,CMR,Research_Capacity,Under,3,-2.341117158884151,0.04910479271154331
COD-As_Expected,COD,As_Expected,Borderline,4,0.050160022868401155,-0.02613394865565794
COD-Governance,COD,Governance,Under,2,-2.0101834216499483,0.04338358497937399
COD-Health_Infrastructure,COD,Health_Infrastructure,Under,3,-1.425458190378228,-0.0011923651375759469
COD-Research_Capacity,COD,Research_Capacity,Under,3,-2.5690952399076883,0.00924981893534906
COG-As_Expected,COG,As_Expected,Borderline,2,-0.8033096008544314,0.03651887779590728
COL-As_Expected,COL,As_Expected,Borderline,11,0.5772873002005112,-0.11175225355535473
COL-Health_Infrastructure,COL,Health_Infrastructure,Under,3,-0.7096140569506715,-0.046303567793538246
CRI-As_Expected,CRI,As_Expected,Borderline,3,-0.044735377093205665,-0.021771232566299054
CRI-Governance,CRI,Governance,Over_Performing,2,3.1182245950975913,-0.18425312129845461
CRI-Health_Infrastructure,CRI,Health_Infrastructure,As_Expected,5,0.360754520324285,0.11086093276520759
CRI-Multiple_Factors,CRI,Multiple_Factors,Under,2,0.6851441676885104,0.4487302171762374
CUB-As_Expected,CUB,As_Expected,Borderline,6,0.03548004565897289,-0.017429703518260602
CUB-Research_Capacity,CUB,Research_Capacity,Under,5,-0.6537707867925695,-0.012438366649301704
CYP-As_Expected,CYP,As_Expected,Borderline,6,0.03585963333808947,0.01780299863563981
CYP-Multiple_Factors,CYP,Multiple_Factors,Over_Performing,2,1.4564646100149212,-0.08051938867018713
CYP-Research_Capacity,CYP,Research_Capacity,As_Expected,3,-1.1645422309535427,-0.005895765378489751
CZE-As_Expected,CZE,As_Expected,Borderline,8,0.26076178400383965,-0.10168688987061875
CZE-Multiple_Factors,CZE,Multiple_Factors,Under,3,-0.83965052619447,-0.03200786028424338
CZE-Research_Capacity,CZE,Research_Capacity,As_Expected,3,-0.04467251814537058,-0.06813255318928378
DEU-As_Expected,DEU,As_Expected,Borderline,8,-0.1486884289075617,-0.19253449909339226
DEU-Governance,DEU,Governance,Under,2,-1.003721261718697,-0.19662900245530332
DEU-Multiple_Factors,DEU,Multiple_Factors,Under,2,-1.3622319007325328,-0.20581590201681416
DEU-Research_Capacity,DEU,Research_Capacity,Under,4,-1.6941483412494058,-0.17268109588066863
DNK-As_Expected,DNK,As_Expected,Borderline,9,0.7952561224854884,-0.16851039627330328
DNK-Health_Infrastructure,DNK,Health_Infrastructure,Over_Performing,2,2.1525142225789318,-0.17376731671687032
DNK-Research_Capacity,DNK,Research_Capacity,Over_Performing,3,1.4225863611416527,0.11516842486768993
DOM-As_Expected,DOM,As_Expected,Borderline,7,0.4066634528534204,-0.07374305548157056
DOM-Health_Infrastructure,DOM,Health_Infrastructure,As_Expected,3,0.6775440880263538,-0.03932910728215067
DOM-Research_Capacity,DOM,Research_Capacity,Over_Performing,4,1.1157313616481859,-0.10413678844309178
DZA-As_Expected,DZA,As_Expected,Borderline,7,0.06189207580970283,-0.00883814554664752
DZA-Research_Capacity,DZA,Research_Capacity,Under,3,0.257274372742895,0.021637815389062672
ECU-As_Expected,ECU,As_Expected,Borderline,6,-0.23520291521609896,-0.00636155121866145
ECU-Health_Infrastructure,ECU,Health_Infrastructure,As_Expected,4,0.6705144658113974,-0.04938189478133242
ECU-Research_Capacity,ECU,Research_Capacity,Under,3,-0.5598587702238546,0.007257315746900729
EGY-As_Expected,EGY,As_Expected,Borderline,6,0.33747812163491625,-0.009532197464095801
EGY-Health_Infrastructure,EGY,Health_Infrastructure,As_Expected,5,-0.1840849510022938,0.0038193809794166964
EGY-Multiple_Factors,EGY,Multiple_Factors,Under,2,-1.2523100854776323,0.00988982911083194
EGY-Research_Capacity,EGY,Research_Capacity,Over_Performing,2,0.9339418708305725,-0.12299592645809382
ESP-As_Expected,ESP,As_Expected,Borderline,11,0.6549272593914887,-0.19014938520117122
ESP-Health_Infrastructure,ESP,Health_Infrastructure,Over_Performing,2,2.269303062655304,-0.05909781026062098
EST-As_Expected,EST,As_Expected,Borderline,4,0.2566524676366104,-0.09486037492248317
EST-Governance,EST,Governance,Under,2,-2.272399202507172,0.07132246184845131
EST-Health_Infrastructure,EST,Health_Infrastructure,Under,3,-2.3134768891538546,0.03928681286804465
EST-Multiple_Factors,EST,Multiple_Factors,Under,3,-1.2108104507835005,0.01892642822141863
EST-Research_Capacity,EST,Research_Capacity,Under,4,-3.1965251802282286,0.05508133192095135
ETH-As_Expected,ETH,As_Expected,Borderline,8,-0.06563770066257078,-0.056840513175359875
ETH-Health_Infrastructure,ETH,Health_Infrastructure,As_Expected,3,-0.7912781400221659,0.002444751764383378
ETH-Research_Capacity,ETH,Research_Capacity,Under,2,-1.7624077218067762,0.027874972955788224
FIN-As_Expected,FIN,As_Expected,Borderline,5,0.24050848291577456,-0.12990214159164587
FIN-Governance,FIN,Governance,Over_Performing,2,1.887560596437892,-0.22253503092569699
FIN-Health_Infrastructure,FIN,Health_Infrastructure,Over_Performing,3,2.027226286807522,-0.062181250437825415
FIN-Multiple_Factors,FIN,Multiple_Factors,Over_Performing,3,0.7662287505239084,0.3354317014971943
FIN-Research_Capacity,FIN,Research_Capacity,Over_Performing,3,1.8687906326060266,0.38185935574814395
FRA-As_Expected,FRA,As_Expected,Borderline,5,0.3220070231039921,-0.1489834147641484
FRA-Governance,FRA,Governance,Over_Performing,2,1.1231911546067832,-0.2185162525368436
FRA-Multiple_Factors,FRA,Multiple_Factors,Over_Performing,2,1.1751819633487517,0.39894550602523987
FRA-Research_Capacity,FRA,Research_Capacity,As_Expected,6,-0.3109971704773071,-0.15245709373203517
GAB-As_Expected,GAB,As_Expected,Borderline,4,0.18059496588013513,0.0021801182551795563
GAB-Research_Capacity,GAB,Research_Capacity,Over_Performing,3,0.391497664139953,-0.0498931825612818
GBR-As_Expected,GBR,As_Expected,Borderline,9,0.5745244556289568,-0.16013331296454178
GBR-Multiple_Factors,GBR,Multiple_Factors,Over_Performing,3,1.4392735689959733,0.26380569851745733
GBR-Research_Capacity,GBR,Research_Capacity,Over_Performing,3,1.3195060361686017,-0.19952420992441477
GEO-As_Expected,GEO,As_Expected,Borderline,8,-0.17151478768219036,0.030299998303855318
GEO-Research_Capacity,GEO,Research_Capacity,Over_Performing,5,0.712218662449142,-0.0470035385528319
GHA-As_Expected,GHA,As_Expected,Borderline,7,0.23670840951377303,-0.07355976164262613
GHA-Governance,GHA,Governance,Over_Performing,2,1.1589302992217074,-0.17816022541157722
GHA-Multiple_Factors,GHA,Multiple_Factors,Over_Performing,2,0.1938670858799606,-0.1193488926648912
GHA-Research_Capacity,GHA,Research_Capacity,Under,3,-0.7615814910632653,-0.10142766273558007
GIN-As_Expected,GIN,As_Expected,Borderline,2,-0.5712020150183157,-0.007621484895442375
GIN-Research_Capacity,GIN,Research_Capacity,Under,2,-1.4534433089648076,0.04029493659773479
GMB-As_Expected,GMB,As_Expected,Borderline,3,0.8379456783602622,-0.1251565950706951
GMB-Health_Infrastructure,GMB,Health_Infrastructure,Over_Performing,4,1.9337183187953202,0.018569675823212735
GMB-Multiple_Factors,GMB,Multiple_Factors,Under,2,-1.185531935451944,-0.005563763552071692
GMB-Research_Capacity,GMB,Research_Capacity,Over_Performing,2,3.2297167130900686,-0.01275689989833366
GNB-As_Expected,GNB,As_Expected,Borderline,2,1.0124474051789505,-0.03642565283410745
GNB-Health_Infrastructure,GNB,Health_Infrastructure,Over_Performing,2,3.2337917097565896,-0.18470434041191242
