ISO3,Disease,YEAR,Total_Participants,Total_Studies
AFG,Anxiety disorders,2012.0,61.0,1
AFG,Anxiety disorders,2023.0,183.0,2
AFG,Bacterial skin diseases,2014.0,174.0,1
AFG,Cardiovascular diseases,2016.0,120.0,1
AFG,Chronic respiratory diseases,2005.0,268.0,1
AFG,Chronic respiratory diseases,2014.0,579.0,1
AFG,Chronic respiratory diseases,2015.0,325.0,1
AFG,Chronic respiratory diseases,2016.0,303.0,1
AFG,Chronic respiratory diseases,2017.0,240.0,1
AFG,Depressive disorders,2012.0,122.0,1
AFG,Depressive disorders,2019.0,2926.0,1
AFG,Depressive disorders,2020.0,292.0,1
AFG,Diabetes and kidney diseases,2016.0,120.0,1
AFG,Diabetes mellitus,2016.0,120.0,1
AFG,Digestive diseases,2013.0,304.0,1
AFG,Digestive diseases,2015.0,3045.0,1
AFG,Digestive diseases,2017.0,124.4006725,1
AFG,Drug use disorders,2016.0,240.0,1
AFG,Leishmaniasis,2005.0,802.0,1
AFG,Leishmaniasis,2012.0,764.0,1
AFG,Leishmaniasis,2014.0,400.0,2
AFG,Lower respiratory infections,2010.0,453.0,1
AFG,Lower respiratory infections,2012.0,304.0,1
AFG,Malaria,2005.0,268.0,1
AFG,Malaria,2010.0,536.0,1
AFG,Malaria,2014.0,579.0,1
AFG,Malaria,2015.0,325.0,1
AFG,Malaria,2016.0,303.0,1
AFG,Malaria,2017.0,833.0,2
AFG,Maternal and neonatal disorders,2016.0,120.0,1
AFG,Maternal and neonatal disorders,2020.0,188.0,1
AFG,Maternal disorders,2020.0,376.0,1
AFG,Mental disorders,2012.0,61.0,1
AFG,Mental disorders,2019.0,1463.0,1
AFG,Mental disorders,2020.0,146.0,1
AFG,Mental disorders,2023.0,183.0,2
AFG,Neglected tropical diseases and malaria,2005.0,669.0,2
AFG,Neglected tropical diseases and malaria,2010.0,536.0,1
AFG,Neglected tropical diseases and malaria,2012.0,382.0,1
AFG,Neglected tropical diseases and malaria,2014.0,779.0,3
AFG,Neglected tropical diseases and malaria,2015.0,325.0,1
AFG,Neglected tropical diseases and malaria,2016.0,303.0,1
AFG,Neglected tropical diseases and malaria,2017.0,833.0,2
AFG,Neonatal disorders,2016.0,240.0,1
AFG,Other mental disorders,2012.0,61.0,1
AFG,Other mental disorders,2019.0,1463.0,1
AFG,Other mental disorders,2023.0,183.0,2
AFG,Respiratory infections and tuberculosis,2010.0,453.0,1
AFG,Respiratory infections and tuberculosis,2012.0,304.0,1
AFG,Skin and subcutaneous diseases,2014.0,87.0,1
AFG,Substance use disorders,2016.0,120.0,1
AGO,African trypanosomiasis,2001.0,588.0,1
AGO,African trypanosomiasis,2016.0,18.79333547,1
AGO,Chronic respiratory diseases,2006.0,137.0,1
AGO,Chronic respiratory diseases,2021.0,948.0,1
AGO,Digestive diseases,2022.0,121.0,1
AGO,HIV/AIDS,2008.0,568.0,1
AGO,HIV/AIDS and sexually transmitted infections,2008.0,568.0,1
AGO,Malaria,2006.0,137.0,1
AGO,Malaria,2021.0,948.0,1
AGO,Malaria,2022.0,121.0,1
AGO,Neglected tropical diseases and malaria,2001.0,588.0,1
AGO,Neglected tropical diseases and malaria,2006.0,137.0,1
AGO,Neglected tropical diseases and malaria,2016.0,18.79333547,1
AGO,Neglected tropical diseases and malaria,2021.0,948.0,1
AGO,Neglected tropical diseases and malaria,2022.0,121.0,1
AGO,Other neglected tropical diseases,2001.0,588.0,1
AGO,Other neglected tropical diseases,2022.0,121.0,1
ALB,Blindness and vision loss,2015.0,20.0,1
ALB,Cardiovascular diseases,2015.0,10.0,1
ALB,Musculoskeletal disorders,2023.0,38.0,1
