Disease,Participating_Countries,Gini_Among_Participants,CV_Among_Participants,PBR_Range,Mean_PBR,Total_Participants
Cardiovascular diseases,110,0.7721003646552799,2.0879257530983,19.99993022311855,1.8179794049732376,415331.71730002866
Neoplasms,100,0.7328220404941449,1.967720372425758,19.998239065818048,1.9156101549874673,588871.2516358313
Diabetes and kidney diseases,105,0.7173666575798888,1.8654172772421527,19.999941323577136,2.2296703978648327,313928.68039756484
Mental disorders,117,0.7151272563662389,1.8885512051547688,19.99044786479583,2.3120731238666568,400196.96851828473
Musculoskeletal disorders,85,0.7111704200492119,1.7095745059784424,19.99096047696458,2.6989077448712466,111464.79366797452
Neurological disorders,101,0.6911229981624876,1.7230783951416075,19.999218856197004,2.127105787384317,182464.75930938162
Maternal and neonatal disorders,126,0.6869712527512085,1.5955303953345121,19.997697584246197,3.1125343754264607,469588.88863289956
Skin and subcutaneous diseases,82,0.6855769087308707,1.6128872087770236,19.982855551330122,3.463950917136505,87318.85409825227
Digestive diseases,111,0.6811196530463977,1.641065507947899,19.997666224254036,2.64487598541556,174085.4843874702
Substance use disorders,68,0.6746964697879294,1.7814240403622945,19.96061661468012,2.458017652679181,148588.3675255428
HIV/AIDS and sexually transmitted infections,101,0.6710786979447435,1.6710215449013748,19.999508894482936,2.3501302597120883,208197.1153801814
Sense organ diseases,78,0.6602885254697087,1.415006968067659,19.99828432994103,3.780097344346342,83076.12250660016
Chronic respiratory diseases,130,0.6589457796973299,1.583606347498776,19.998077250101375,2.9774165081140005,187437.94253114206
Respiratory infections and tuberculosis,127,0.6512627138686221,1.5026734400273307,19.996493253374894,3.083548954581732,308316.78777683445
Neglected tropical diseases and malaria,104,0.626323158299059,1.411762489399822,19.988030257720112,3.4897510992852907,224063.09787523773
Nutritional deficiencies,108,0.5582969039917152,1.1072815714266995,19.935846452651624,4.086958301631555,94145.88991006208
