Group,Factor,Unit,N,Mean,SD,Min,Max,Partial_R2,CI_Lower,CI_Upper
Economic,GDP,USD,13359,1503844476108.64,3218857544333.892,183803637.768,17376000000000.0,0.0037,0.0011,0.0072
Economic,Population,persons,13491,116416038.26971199,276521361.97914004,524525.6666666666,1363400839.84,0.0011,0.0002,0.0031
Research Investment,R&D Expenditure,% of GDP,13547,1.35950095921762,1.00655476593222,0.031580001,4.418404340695652,0.0069,0.0046,0.0101
Research Investment,Scientific Publications per capita,per million persons,13432,359.66050058095055,396.68119369050555,0.264662791607462,1403.6486711752325,0.0116,0.0084,0.0152
Research Investment,Total Scientific Citations,count,13547,652405.8229857631,1505045.8386387636,81.38095238095238,8732175.16,0.0346,0.0304,0.0386
Health Infrastructure,Health Expenditure per capita,USD,13003,0.0001803434992906438,0.0003820543890675559,3.5537250244766505e-08,0.0102018608407821,0.0001,0.0,0.0012
Health Infrastructure,Hospital Beds per capita,total count,8271,450556.3387406791,852442.2976285502,1072.529411764706,4123940.909090909,0.002,0.0009,0.0035
Health Infrastructure,Hospitals per capita,total count,6327,1888.118464038639,2467.0162409677823,11.391304347826088,10833.866666666669,0.0017,0.0007,0.0033
Health Infrastructure,"Physicians per 10,000 population","per 10,000",13547,22.25649915110244,14.647451333906384,0.2799999999999999,72.00318181818182,0.0153,0.0117,0.0195
Governance,Human Development Index (HDI),0–1 scale,13547,0.7778617975993475,0.1592119329305343,0.3466249999999999,0.949875,0.0011,0.0002,0.0027
Governance,Democracy Index,0–10 scale,13547,6.7336989739425706,2.1335568076230995,1.0641176470588238,9.828235294117649,0.0017,0.0007,0.003
—,Full model (all factors),,,,,,,0.3013,0.2891,0.3154
—,Unexplained variance,,,,,,,0.6987,0.6846,0.7109
