Variable,Block,ElasticNet_Coefficient
log_gdp_per_capita,Economic,-0.3917394469748489
log_population,Economic,1.1759473312820774
foreign_aid_received,Economic,0.05604213255765059
rd_expenditure,Research,0.146263392044298
log_total_publications,Research,-0.0
log_total_citations,Research,0.20511298706277806
log_researchers_per_million,Research,-0.18928933669162265
log_health_expenditure_per_capita,Health,0.7921946664661813
uhc_index,Health,0.04959169485997015
log_medical_school,Health,-0.674934972086673
sanitation,Health,-0.14633256095575614
hdi,Governance,0.0
democracy_index,Governance,0.15245756066580757
altruism,Governance,0.0873910443689779
trust_scientists,Governance,-0.0
