Path,Effect,Type
Economic -> PBR (Direct),0.07413782237696191,Direct
Economic -> Research -> PBR,-0.2690872456413277,Indirect
Economic -> Health -> PBR,0.16976503687542915,Indirect
Economic (Total Effect),-0.025184386388936608,Total
Research -> PBR (Direct),0.616155957927345,Direct
Health -> PBR (Direct),-0.317958709325565,Direct
Governance -> PBR (Direct),-0.07593814764207531,Direct
Governance -> Research -> PBR,0.3275046968769758,Indirect
Governance -> Health -> PBR,-0.19132935436731457,Indirect
Governance (Total Effect),0.06023719486758594,Total
