Variable,Gini_Importance,Permutation_Importance_Mean,Permutation_Importance_Std,Block
log_population,0.4166494294674353,0.8322236234326148,0.04906206592931377,Economic
log_total_citations,0.10243677034220171,0.20069308594020155,0.013751201512044422,Research
democracy_index,0.0657275076923236,0.09474275903952248,0.014237123189676217,Governance
log_researchers_per_million,0.039751732548166906,0.08593176933457605,0.016466189168641822,Research
log_medical_school,0.04394324895919658,0.06542878615795886,0.008521555428254727,Health
hdi,0.05350199524750916,0.04848478906926109,0.006668371810627285,Governance
log_total_publications,0.04656787168417074,0.04085283255906713,0.002963377997543123,Research
rd_expenditure,0.04169198849874347,0.03749068862959737,0.003187099237307234,Research
altruism,0.03438771808734183,0.03509394352848837,0.004164233047506896,Governance
sanitation,0.033395689264747785,0.03140158992048869,0.008936521662521164,Health
log_gdp_per_capita,0.02963412323883007,0.029065660820368468,0.002971403795491728,Economic
log_health_expenditure_per_capita,0.03321523342904897,0.028980049464839296,0.004728821278488175,Health
uhc_index,0.02642427339381747,0.023812031906895348,0.0019839258224313094,Health
foreign_aid_received,0.02103596325845658,0.01916791708260438,0.002166854221945895,Economic
trust_scientists,0.01163645488800981,0.010509469351558231,0.0009583252598662904,Governance
