Variable,Block,ElasticNet_Coefficient
rd_expenditure,Research,0.2162064398103372
log_total_publications,Research,0.09448605067021988
log_total_citations,Research,0.19865565546787756
log_researchers_per_million,Research,-0.14234302349008948
log_health_expenditure_per_capita,Health,0.018423012986667858
uhc_index,Health,0.0
log_medical_school,Health,-0.4596190188149406
sanitation,Health,-0.14644891530520363
hdi,Governance,-0.007561248935039342
democracy_index,Governance,0.15895873077812395
altruism,Governance,0.03103450677316027
trust_scientists,Governance,-0.02891041466291361
