Variable,Gini_Importance,Permutation_Importance_Mean,Permutation_Importance_Std,Block
log_medical_school,0.14983593963392916,0.48494676669215303,0.04572447930742013,Health
log_total_citations,0.14143725417219977,0.20484530552667346,0.018550264725454263,Research
democracy_index,0.107199396037366,0.160377515216188,0.016996910243664322,Governance
hdi,0.07718278820599034,0.12638486551278902,0.014781846117631102,Governance
rd_expenditure,0.08175485560963622,0.11001274486156976,0.00777754419203646,Research
altruism,0.0856728874235922,0.09463655585297359,0.010304614247239618,Governance
log_total_publications,0.08655519545346614,0.07943103184678904,0.005043884645566965,Research
log_researchers_per_million,0.06783689234643367,0.0754155722556021,0.007856315198486456,Research
uhc_index,0.05518105638372629,0.06672635570172461,0.003958343481670321,Health
sanitation,0.05438278593667738,0.05904704425030727,0.005968177682788097,Health
log_health_expenditure_per_capita,0.05539520117558577,0.05820668466959115,0.004841137602846937,Health
trust_scientists,0.037565747621397146,0.04111818100387543,0.005211070832465252,Governance
