Variable,Coefficient,Std_Error,t_value,p_value,CI_2.5,CI_97.5
const,-3.642919299551295e-17,0.07951691019777603,-4.581313950064903e-16,0.9999999999999996,-0.15691715090041664,0.15691715090041658
rd_expenditure,0.2562156850354735,0.13495575234457424,1.898516221682005,0.0592461145073626,-0.010103417440481322,0.5225347875114283
log_total_publications,-0.006400221642825388,0.6394088652620459,-0.010009591656509822,0.9920248443402102,-1.2681974563170018,1.255397013031351
log_total_citations,0.4374956742858378,0.6586318001243132,0.6642492424496704,0.5073903402868608,-0.8622357326672765,1.737227081238952
log_researchers_per_million,-0.24202218197637662,0.177927288781007,-1.3602308203226636,0.17547703749450763,-0.5931404932073902,0.10909612925463688
log_health_expenditure_per_capita,0.20509094007455356,0.28435874553629453,0.7212401351952669,0.47170803085388535,-0.3560571738573164,0.7662390540064234
uhc_index,0.21576089229985662,0.2475593838229291,0.8715520654801077,0.3846267983340107,-0.2727680645162144,0.7042898491159276
log_medical_school,-0.575621104793712,0.11101182410806708,-5.1852233707407605,5.821880695774891e-07,-0.7946897168910576,-0.3565524926963663
sanitation,-0.24801794291601412,0.143453731881703,-1.7289054781825994,0.08555986598937818,-0.5311067958017828,0.03507090996975451
hdi,-0.33115209744521346,0.3274143943495949,-1.0114158178752142,0.31319032116744566,-0.9772654058891428,0.3149612109987159
democracy_index,0.15959716392082185,0.1107649587869461,1.4408632989048764,0.15138005958280798,-0.058984288869779244,0.37817861671142294
altruism,0.027597796725290294,0.08787917121641863,0.3140425238800403,0.7538564897095998,-0.145821280254338,0.20101687370491855
trust_scientists,-0.011034190813127162,0.1178169877776299,-0.09365534649343871,0.9254882773852263,-0.24353198283940686,0.2214636012131525
