Variable,Coefficient,Std_Error,t_value,p_value,CI_2.5,CI_97.5
const,-0.9587454467117598,0.07532438408537408,-12.728221522861702,1.2917991667914811e-26,-1.1074185569878197,-0.8100723364356999
log_gdp_per_capita,0.056085917317442405,0.07532438408537402,0.7445917812467422,0.45752878878196235,-0.09258719295861743,0.20475902759350223
resid_log_population,1.151650970894386,0.17778318433150045,6.477839708096235,9.310553923180447e-10,0.8007476174811247,1.5025543243076473
resid_altruism,0.04194784978819101,0.08554294340376511,0.49037183102521936,0.6244921621778063,-0.12689435997474552,0.2107900595511275
resid_democracy_index,0.07578428282408813,0.10084165577295412,0.7515176366671042,0.45336232278124866,-0.12325408690436752,0.2748226525525438
resid_foreign_aid_received,-0.021277431736853463,0.09774276155760978,-0.21768805584966516,0.8279287128210255,-0.21419929288703063,0.17164442941332372
resid_hdi,0.13863228036653816,0.13865274352021717,0.9998524143615231,0.3187783815554909,-0.13503653057382456,0.41230109130690085
resid_rd_expenditure,0.026498851506130273,0.11574493598385487,0.22894177858309558,0.8191845862875538,-0.20195518552813346,0.254952888540394
resid_trust_scientists,-0.005801854960595154,0.09482859103746641,-0.06118254945180893,0.9512844515524861,-0.1929718098673246,0.1813680999461343
resid_uhc_index,0.09261222940536047,0.12680244106161287,0.7303662976043223,0.4661542136766267,-0.15766679420881768,0.3428912530195386
resid_sanitation,-0.09175448653166277,0.08738792953055904,-1.0499675072353873,0.29519756751047144,-0.26423827702861147,0.08072930396528596
resid_log_total_publications,-0.8193357161259467,0.5689010546530272,-1.440207764469095,0.15161585823034315,-1.9422163113224693,0.3035448790705759
resid_log_total_citations,0.8979533937520299,0.5471914021653572,1.6410224835379905,0.10260953579005051,-0.18207731163064422,1.977984099134704
resid_log_researchers_per_million,-0.09181378397806012,0.10030272901747724,-0.9153667589848132,0.3612732525238952,-0.28978843552387623,0.10616086756775603
resid_log_medical_school,-0.6924185068202098,0.1220530097521399,-5.673096535893249,5.7897368730810846e-08,-0.9333232390492565,-0.451513774591163
resid_log_hospital_beds_per_capita,0.1916664227283907,0.16596724356833706,1.1548448875062025,0.24974660432749646,-0.13591496548823404,0.5192478109450155
resid_log_health_expenditure_per_capita,0.3355909431141969,0.11448590375597248,2.9312861418250353,0.0038319806272560024,0.1096219478035391,0.5615599384248547
resid_log_doctors_per_10k,-0.25641144754469936,0.13378654374282792,-1.9165712811715054,0.05694080514203726,-0.5204754928449058,0.00765259775550714
