Index,Variables,GDP_Coeff,GDP_p,R2,IsValidStory
0,"log_gdp_per_capita, rd_expenditure",-0.34676635344433937,0.0031134077251923735,0.18130681982399965,False
1,"log_gdp_per_capita, log_total_publications",-0.3688549593894461,0.0010917472393188236,0.22289450159491886,False
2,"log_gdp_per_capita, log_total_citations",-0.42957222529104133,0.00022398943816001317,0.23309296107347188,False
3,"log_gdp_per_capita, log_researchers_per_million",-0.3109075188149777,0.09160489968194359,0.03236599421055453,False
4,"log_population, rd_expenditure",,,0.3580866288786829,False
5,"log_population, log_total_publications",,,0.312323427213957,False
6,"log_population, log_total_citations",,,0.32618333076906203,False
7,"log_population, log_researchers_per_million",,,0.29545845795933356,False
8,"foreign_aid_received, rd_expenditure",,,0.14224327504771384,False
9,"foreign_aid_received, log_total_publications",,,0.18737785708621912,False
10,"foreign_aid_received, log_total_citations",,,0.18299818223634423,False
11,"foreign_aid_received, log_researchers_per_million",,,0.02050950689708053,False
12,"log_gdp_per_capita, log_health_expenditure_per_capita",-1.000450601422536,0.005126690172299067,0.05096455950016443,False
13,"log_gdp_per_capita, log_hospital_beds_per_capita",-0.0799510411398521,0.41786930824840285,0.1970873330699695,False
14,"log_gdp_per_capita, log_doctors_per_10k",0.28378054500987,0.1476041473043677,0.011672142615993253,False
15,"log_gdp_per_capita, uhc_index",0.10943905206482264,0.6103484124211035,0.0018847667110770683,False
16,"log_gdp_per_capita, log_medical_school",0.033851701593251945,0.7561115138672372,0.008510545979095063,False
17,"log_gdp_per_capita, sanitation",-0.10160060199770996,0.5545418471173975,0.008737983904034352,False
18,"log_population, log_health_expenditure_per_capita",,,0.32383040494963566,False
19,"log_population, log_hospital_beds_per_capita",,,0.28289669368392956,False
20,"log_population, log_doctors_per_10k",,,0.2816828438748459,False
21,"log_population, uhc_index",,,0.2931291946255571,False
22,"log_population, log_medical_school",,,0.34492429430978266,False
23,"log_population, sanitation",,,0.2984315092350409,False
24,"foreign_aid_received, log_health_expenditure_per_capita",,,0.015544728114961659,False
25,"foreign_aid_received, log_hospital_beds_per_capita",,,0.1962990157728789,False
26,"foreign_aid_received, log_doctors_per_10k",,,0.02375915252891081,False
27,"foreign_aid_received, uhc_index",,,0.015046056729664858,False
28,"foreign_aid_received, log_medical_school",,,0.016815613133656537,False
29,"foreign_aid_received, sanitation",,,0.014582858607064542,False
30,"log_gdp_per_capita, hdi",-0.20349018796257928,0.49159474647589585,0.006151536168197191,False
31,"log_gdp_per_capita, democracy_index",-0.042936825446330006,0.729931309850666,0.014252635424029658,False
32,"log_gdp_per_capita, altruism",0.060825388455027024,0.5979745292956837,0.0015156849857422827,False
33,"log_gdp_per_capita, trust_scientists",0.032464790536334595,0.8035040093480086,0.0019915963332799436,False
34,"log_population, hdi",,,0.306612576446633,False
35,"log_population, democracy_index",,,0.34179015134938484,False
36,"log_population, altruism",,,0.29103667412416956,False
37,"log_population, trust_scientists",,,0.28395608510746584,False
38,"foreign_aid_received, hdi",,,0.013145502148077526,False
39,"foreign_aid_received, democracy_index",,,0.0204658102882046,False
40,"foreign_aid_received, altruism",,,0.013417522610548072,False
41,"foreign_aid_received, trust_scientists",,,0.013206125136812963,False
42,"rd_expenditure, log_health_expenditure_per_capita",,,0.167272617688495,False
43,"rd_expenditure, log_hospital_beds_per_capita",,,0.24191634490132763,False
44,"rd_expenditure, log_doctors_per_10k",,,0.18296628780232427,False
45,"rd_expenditure, uhc_index",,,0.17289435365360972,False
46,"rd_expenditure, log_medical_school",,,0.14257881461333788,False
47,"rd_expenditure, sanitation",,,0.17087912029584373,False
48,"log_total_publications, log_health_expenditure_per_capita",,,0.2011011141824357,False
49,"log_total_publications, log_hospital_beds_per_capita",,,0.2245594431715947,False
50,"log_total_publications, log_doctors_per_10k",,,0.23943583331665985,False
51,"log_total_publications, uhc_index",,,0.22092175128313263,False
52,"log_total_publications, log_medical_school",,,0.20745646710411125,False
53,"log_total_publications, sanitation",,,0.20070422084521422,False
54,"log_total_citations, log_health_expenditure_per_capita",,,0.21050508439772375,False
55,"log_total_citations, log_hospital_beds_per_capita",,,0.23165294160262795,False
56,"log_total_citations, log_doctors_per_10k",,,0.24512415646592,False
57,"log_total_citations, uhc_index",,,0.22807044098084994,False
58,"log_total_citations, log_medical_school",,,0.19524336265882847,False
59,"log_total_citations, sanitation",,,0.20535177132263482,False
60,"log_researchers_per_million, log_health_expenditure_per_capita",,,0.01780787355408109,False
61,"log_researchers_per_million, log_hospital_beds_per_capita",,,0.1958657238470154,False
62,"log_researchers_per_million, log_doctors_per_10k",,,0.05692210360787986,False
63,"log_researchers_per_million, uhc_index",,,0.03210060271154913,False
64,"log_researchers_per_million, log_medical_school",,,0.02072257061169236,False
65,"log_researchers_per_million, sanitation",,,0.018101676253512666,False
66,"rd_expenditure, hdi",,,0.1788657556235902,False
67,"rd_expenditure, democracy_index",,,0.14738868751757106,False
68,"rd_expenditure, altruism",,,0.14776704800527263,False
69,"rd_expenditure, trust_scientists",,,0.16387793822147378,False
70,"log_total_publications, hdi",,,0.22056922384261402,False
71,"log_total_publications, democracy_index",,,0.17954795408140178,False
72,"log_total_publications, altruism",,,0.1816767066698204,False
73,"log_total_publications, trust_scientists",,,0.20080843261149028,False
74,"log_total_citations, hdi",,,0.2318642319913684,False
75,"log_total_citations, democracy_index",,,0.18157490663499576,False
76,"log_total_citations, altruism",,,0.18208705813862824,False
77,"log_total_citations, trust_scientists",,,0.204255011737273,False
78,"log_researchers_per_million, hdi",,,0.024638729902566436,False
